croco diel 2015,Identified Proteins (1725),Accession Number,Molecular Weight,Protein Grouping Ambiguity,c02,c04,c06,c08,c10,c12,c14,c16,c18,c20,c22,c24
730,"ZP_00518385 CwatDRAFT_1351 DnaJ central region:Heat shock protein DnaJ, N-terminal:Chaperone DnaJ, C-terminal [Crocosphaera watsonii WH 8501]",638433670,41 kDa,,0,0.97807,1.9348,2.2404,4.795,2.187,1.8251,0.95523,0,1.0023,4.3984,3.9448
731,ZP_00513891 CwatDRAFT_6219 Terpene synthase [Crocosphaera watsonii WH 8501],638429146,73 kDa,,0,0,0.96741,3.3606,3.5963,1.0935,0.91256,0,0,0,0,0
732,ZP_00513888 CwatDRAFT_6564 Amidase [Crocosphaera watsonii WH 8501],638429143,50 kDa,,0.96812,8.8026,12.576,11.202,9.5901,10.935,8.2131,11.463,8.1766,7.0161,14.075,11.834
733,ZP_00517832 CwatDRAFT_1187 similar to Uncharacterized protein conserved in bacteria [Crocosphaera watsonii WH 8501],638433101,41 kDa,,1.9362,5.8684,4.837,0,1.1988,4.3741,4.5628,4.7761,3.0662,2.0046,6.1578,4.9309
734,ZP_00517786 CwatDRAFT_1494 Stage II sporulation E [Crocosphaera watsonii WH 8501],638433064,54 kDa,,0,1.9561,0,1.1202,0,0,0,0,0,0,0,0.98619
735,ZP_00518089 CwatDRAFT_1631 hypothetical protein [Crocosphaera watsonii WH 8501],638433376,50 kDa,,0,0.97807,0.96741,0,0,1.0935,0,0,0,0,0.87968,0.98619
736,ZP_00516133 CwatDRAFT_3804 Glycine cleavage T protein (aminomethyl transferase) [Crocosphaera watsonii WH 8501],638431386,40 kDa,,0.96812,0.97807,4.837,3.3606,1.1988,3.2806,8.2131,6.6866,2.0441,4.0092,7.0374,8.8757
737,ZP_00516242 CwatDRAFT_3709 similar to membrane protein [Crocosphaera watsonii WH 8501],638431490,36 kDa,,1.9362,4.8903,9.6741,12.322,10.789,9.8417,9.1256,12.418,11.243,10.023,12.316,10.848
738,ZP_00516393 CwatDRAFT_3825 Protein of unknown function DUF269 [Crocosphaera watsonii WH 8501],638431676,18 kDa,,11.617,2.9342,6.7718,3.3606,2.3975,7.6547,8.2131,9.5523,8.1766,8.0184,8.7968,6.9033
739,ZP_00518652 CwatDRAFT_0886 Xaa-Pro dipeptidase [Crocosphaera watsonii WH 8501],638433942,51 kDa,,0,0.97807,2.9022,1.1202,0,1.0935,4.5628,1.9105,1.0221,3.0069,2.639,2.9586
740,ZP_00513675 CwatDRAFT_6673 ABC transporter [Crocosphaera watsonii WH 8501],638428930,37 kDa,,0.96812,4.8903,4.837,10.082,7.1926,4.3741,9.1256,7.6418,4.0883,6.0138,5.2781,7.8895
741,ZP_00515689 CwatDRAFT_4362 Isopentenyl-diphosphate delta-isomerase [Crocosphaera watsonii WH 8501],638430957,38 kDa,,0,3.9123,1.9348,3.3606,1.1988,2.187,2.7377,2.8657,0,2.0046,2.639,0.98619
742,ZP_00515324 CwatDRAFT_4795 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638430615,15 kDa,,0,1.9561,1.9348,3.3606,0,2.187,0.91256,0.95523,0,1.0023,1.7594,1.9724
743,ZP_00515136 CwatDRAFT_5085 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638430401,15 kDa,,7.745,9.7807,7.7393,5.6009,7.1926,6.5611,8.2131,5.7314,8.1766,8.0184,9.6765,6.9033
744,ZP_00516650 CwatDRAFT_3151 S-layer homology region [Crocosphaera watsonii WH 8501],638431915,65 kDa,TRUE,31.948,11.737,10.641,20.163,16.783,15.309,7.3005,7.6418,8.1766,15.034,11.436,20.71
745,ZP_00517877 CwatDRAFT_1920 Asparaginase [Crocosphaera watsonii WH 8501],638433148,33 kDa,,0.96812,3.9123,2.9022,5.6009,4.795,2.187,4.5628,2.8657,3.0662,2.0046,4.3984,3.9448
746,ZP_00518507 CwatDRAFT_1405 Short-chain dehydrogenase/reductase SDR [Crocosphaera watsonii WH 8501],638433787,26 kDa,,0.96812,4.8903,5.8044,5.6009,3.5963,6.5611,7.3005,5.7314,3.0662,6.0138,4.3984,6.9033
747,ZP_00516621 CwatDRAFT_3442 hypothetical protein [Crocosphaera watsonii WH 8501],638431890,18 kDa,,11.617,9.7807,5.8044,14.562,15.584,9.8417,2.7377,0.95523,0,4.0092,3.5187,7.8895
748,ZP_00517898 CwatDRAFT_1754 Pentapeptide repeat [Crocosphaera watsonii WH 8501],638433183,19 kDa,,10.649,10.759,17.413,16.803,17.981,16.403,10.038,14.328,18.397,18.041,15.834,18.738
749,"ZP_00518967 CwatDRAFT_0488 Oxidoreductase, molybdopterin binding [Crocosphaera watsonii WH 8501]",638434257,37 kDa,,0.96812,3.9123,1.9348,4.4807,1.1988,2.187,1.8251,2.8657,1.0221,1.0023,4.3984,5.9171
750,ZP_00514088 CwatDRAFT_6455 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429345,56 kDa,,0,0,6.7718,1.1202,1.1988,0,1.8251,0.95523,0,1.0023,3.5187,2.9586
751,ZP_00514564 CwatDRAFT_5800 hypothetical protein [Crocosphaera watsonii WH 8501],638429825,36 kDa,,2.9044,5.8684,6.7718,12.322,7.1926,8.7482,9.1256,6.6866,10.221,10.023,8.7968,5.9171
752,"ZP_00515437 CwatDRAFT_4502 Heat shock protein DnaJ, N-terminal:Chaperone DnaJ, C-terminal [Crocosphaera watsonii WH 8501]",638430737,43 kDa,,6.7769,1.9561,1.9348,2.2404,3.5963,2.187,1.8251,0.95523,4.0883,1.0023,1.7594,1.9724
753,ZP_00515519 CwatDRAFT_4595 similar to nucleoside-diphosphate-sugar epimerases [Crocosphaera watsonii WH 8501],638430799,55 kDa,,0.96812,0.97807,1.9348,0,0,0,0,0,0,1.0023,1.7594,1.9724
754,ZP_00514770 CwatDRAFT_5691 Methyltransferase FkbM [Crocosphaera watsonii WH 8501],638430032,31 kDa,,0,0,0,0,0,0,0,0.95523,0,0,0,0
755,ZP_00518682 CwatDRAFT_1295 Rieske [2Fe-2S] region [Crocosphaera watsonii WH 8501],638433974,53 kDa,,0,0.97807,0,0,0,0,0,0,0,0,0,0
756,"ZP_00513909 CwatDRAFT_6548 Aminotransferase, class I and II [Crocosphaera watsonii WH 8501]",638429164,43 kDa,,0.96812,6.8465,7.7393,7.8413,7.1926,6.5611,10.038,11.463,8.1766,7.0161,13.195,8.8757
757,ZP_00518923 CwatDRAFT_0905 TRAP dicarboxylate transporter- DctP subunit [Crocosphaera watsonii WH 8501],638434212,41 kDa,,1.9362,3.9123,3.8696,2.2404,4.795,2.187,1.8251,1.9105,2.0441,1.0023,1.7594,2.9586
758,ZP_00517424 CwatDRAFT_2315 Alpha/beta hydrolase fold [Crocosphaera watsonii WH 8501],638432711,34 kDa,,0,0,0,0,0,0,2.7377,2.8657,1.0221,2.0046,0,0
759,ZP_00517760 CwatDRAFT_2125 Deoxyribose-phosphate aldolase [Crocosphaera watsonii WH 8501],638433044,23 kDa,,10.649,7.8245,5.8044,10.082,5.9938,8.7482,12.776,13.373,9.1987,8.0184,11.436,4.9309
760,ZP_00514359 CwatDRAFT_5325 Beta-lactamase-like:Flavin reductase-like [Crocosphaera watsonii WH 8501],638429618,64 kDa,,3.8725,3.9123,2.9022,0,0,0,0,0,0,3.0069,5.2781,2.9586
761,ZP_00517023 CwatDRAFT_2389 Ribosomal protein L24 [Crocosphaera watsonii WH 8501],638432302,13 kDa,,0,11.737,8.7067,11.202,3.5963,2.187,12.776,12.418,5.1104,5.0115,7.9171,8.8757
762,ZP_00518182 CwatDRAFT_2033 ATP-dependent DNA helicase RecQ:ATP-requiring DNA helicase RecQ [Crocosphaera watsonii WH 8501],638433467,81 kDa,,0,0,0,0,0,0,0,0,0,0,0.87968,0
763,ZP_00515191 CwatDRAFT_5056 TPR repeat:TPR repeat [Crocosphaera watsonii WH 8501],638430456,25 kDa,,0,0.97807,0.96741,12.322,17.981,14.216,6.3879,1.9105,1.0221,2.0046,0.87968,0
764,"ZP_00513533 CwatDRAFT_6743 Competence-damaged protein:CinA, C-terminal [Crocosphaera watsonii WH 8501]",638428786,45 kDa,,0.96812,2.9342,3.8696,1.1202,1.1988,3.2806,4.5628,3.8209,2.0441,2.0046,4.3984,4.9309
765,ZP_00516479 CwatDRAFT_3105 similar to glutamine amidotransferase [Crocosphaera watsonii WH 8501],638431722,29 kDa,,3.8725,4.8903,7.7393,7.8413,4.795,7.6547,2.7377,6.6866,7.1545,9.0207,8.7968,8.8757
766,ZP_00517892 CwatDRAFT_2197 hypothetical protein [Crocosphaera watsonii WH 8501],638433175,47 kDa,,0.96812,1.9561,4.837,0,0,0,0,3.8209,0,1.0023,6.1578,5.9171
767,ZP_00516796 CwatDRAFT_2503 hypothetical protein [Crocosphaera watsonii WH 8501],638432071,69 kDa,,0,0,0,1.1202,0,0,0,0,0,0,0,0
768,ZP_00514078 CwatDRAFT_6327 Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [Crocosphaera watsonii WH 8501],638429335,27 kDa,,6.7769,14.671,9.6741,11.202,15.584,9.8417,12.776,9.5523,9.1987,14.032,7.9171,9.8619
769,"ZP_00518107 CwatDRAFT_1610 Insulinase-like:Peptidase M16, C-terminal [Crocosphaera watsonii WH 8501]",638433393,47 kDa,,3.8725,4.8903,5.8044,5.6009,5.9938,5.4676,7.3005,6.6866,5.1104,5.0115,5.2781,8.8757
770,ZP_00518613 CwatDRAFT_1113 hypothetical protein [Crocosphaera watsonii WH 8501],638433900,14 kDa,,1.9362,4.8903,3.8696,3.3606,0,1.0935,0.91256,1.9105,1.0221,1.0023,4.3984,2.9586
771,ZP_00518013 CwatDRAFT_1798 Ribosomal protein S14 [Crocosphaera watsonii WH 8501],638433298,12 kDa,,2.9044,10.759,10.641,13.442,9.5901,12.029,14.601,13.373,8.1766,10.023,13.195,15.779
772,"ZP_00515171 CwatDRAFT_5037 Nitrogen-fixing NifU, C-terminal [Crocosphaera watsonii WH 8501]",638430436,9 kDa,,2.9044,8.8026,5.8044,10.082,17.981,12.029,9.1256,6.6866,13.287,15.034,7.9171,7.8895
773,ZP_00516160 CwatDRAFT_3879 Flavoprotein monooxygenase [Crocosphaera watsonii WH 8501],638431430,49 kDa,,0.96812,1.9561,5.8044,3.3606,2.3975,3.2806,5.4754,5.7314,3.0662,2.0046,5.2781,4.9309
774,"ZP_00518090 CwatDRAFT_1632 AAA ATPase, central region [Crocosphaera watsonii WH 8501]",638433377,56 kDa,,1.9362,6.8465,6.7718,2.2404,1.1988,5.4676,5.4754,7.6418,5.1104,7.0161,5.2781,5.9171
775,ZP_00518833 CwatDRAFT_1166 Protein of unknown function DUF25 [Crocosphaera watsonii WH 8501],638434117,15 kDa,,13.554,8.8026,4.837,3.3606,4.795,1.0935,0.91256,1.9105,6.1324,3.0069,0.87968,1.9724
776,"ZP_00516964 CwatDRAFT_2826 Peptidase U62, modulator of DNA gyrase [Crocosphaera watsonii WH 8501]",638432236,53 kDa,,0,0,0,1.1202,0,0,0.91256,0,0,0,2.639,2.9586
777,ZP_00515638 CwatDRAFT_4423 similar to Phytoene dehydrogenase and related proteins [Crocosphaera watsonii WH 8501],638430905,57 kDa,,0,0,0,0,0,0,0.91256,1.9105,1.0221,2.0046,0.87968,1.9724
778,ZP_00516067 CwatDRAFT_3897 hypothetical protein [Crocosphaera watsonii WH 8501],638431342,50 kDa,,5.8087,3.9123,2.9022,5.6009,5.9938,7.6547,4.5628,8.597,6.1324,10.023,3.5187,3.9448
779,ZP_00517493 CwatDRAFT_2250 Acetate kinase [Crocosphaera watsonii WH 8501],638432778,44 kDa,,0.96812,4.8903,7.7393,3.3606,4.795,2.187,6.3879,2.8657,3.0662,4.0092,1.7594,2.9586
780,ZP_00516366 CwatDRAFT_3579 Amine oxidase:Rieske [2Fe-2S] region [Crocosphaera watsonii WH 8501],638431653-DECOY,?,,0,0,0,0,1.1988,0,0,0.95523,0,0,0,0
781,ZP_00517668 CwatDRAFT_1937 hypothetical protein [Crocosphaera watsonii WH 8501],638432954,12 kDa,,0.96812,11.737,3.8696,16.803,14.385,3.2806,2.7377,0.95523,6.1324,5.0115,10.556,4.9309
782,ZP_00518145 CwatDRAFT_1646 TPR repeat:TPR repeat [Crocosphaera watsonii WH 8501],638433432,20 kDa,,0.96812,4.8903,3.8696,3.3606,4.795,4.3741,5.4754,5.7314,13.287,9.0207,5.2781,8.8757
783,ZP_00519380 CwatDRAFT_0129 hypothetical protein [Crocosphaera watsonii WH 8501],638434671,63 kDa,,0,0,0,0,0,0,0,0.95523,0,0,0.87968,0.98619
784,"ZP_00514506 CwatDRAFT_5428 Acetolactate synthase, large subunit, biosynthetic type [Crocosphaera watsonii WH 8501]",638429766,67 kDa,,3.8725,0.97807,2.9022,1.1202,1.1988,2.187,3.6502,6.6866,3.0662,4.0092,2.639,1.9724
785,ZP_00514741 CwatDRAFT_5563 Zinc-containing alcohol dehydrogenase superfamily:Phosphopantetheine-binding [Crocosphaera watsonii WH 8501],638430003,143 kDa,,0,0.97807,0.96741,0,0,0,2.7377,0.95523,1.0221,0,0,0
786,ZP_00518852 CwatDRAFT_0821 UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Crocosphaera watsonii WH 8501],638434142,47 kDa,,3.8725,4.8903,2.9022,6.7211,4.795,1.0935,3.6502,0.95523,2.0441,4.0092,12.316,11.834
787,ZP_00518825 CwatDRAFT_0569 Beta-Ig-H3/fasciclin [Crocosphaera watsonii WH 8501],638434110,17 kDa,,23.235,22.496,20.316,14.562,7.1926,2.187,1.8251,0,3.0662,19.044,14.075,11.834
788,"ZP_00513565 CwatDRAFT_6728 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD [Crocosphaera watsonii WH 8501]",638428819,37 kDa,,3.8725,6.8465,5.8044,2.2404,3.5963,6.5611,3.6502,5.7314,5.1104,6.0138,5.2781,7.8895
789,ZP_00516390 CwatDRAFT_3822 Nitrogenase MoFe cofactor biosynthesis protein NifE [Crocosphaera watsonii WH 8501],638431673,52 kDa,,0,0,0,0,1.1988,4.3741,2.7377,3.8209,0,0,0,0
790,ZP_00516431 CwatDRAFT_4040 Glutamyl-tRNA reductase [Crocosphaera watsonii WH 8501],638431718,48 kDa,,0,0.97807,0,0,0,0,0,0,0,0,1.7594,0
791,ZP_00519356 CwatDRAFT_0052 Polysaccharide pyruvyl transferase [Crocosphaera watsonii WH 8501],638434647,38 kDa,,1.9362,2.9342,1.9348,2.2404,1.1988,2.187,0.91256,2.8657,1.0221,3.0069,1.7594,2.9586
792,ZP_00518834 CwatDRAFT_1168 DegT/DnrJ/EryC1/StrS aminotransferase [Crocosphaera watsonii WH 8501],638434116,42 kDa,,0,5.8684,2.9022,3.3606,2.3975,1.0935,2.7377,1.9105,2.0441,2.0046,3.5187,2.9586
793,ZP_00517680 CwatDRAFT_1950 hypothetical protein [Crocosphaera watsonii WH 8501],638432952,78 kDa,,0,0,0,0,0,0,0.91256,0.95523,0,0,0,0
794,ZP_00516020 CwatDRAFT_3762 hypothetical protein [Crocosphaera watsonii WH 8501],638431257,31 kDa,,1.9362,7.8245,11.609,8.9615,11.988,12.029,11.863,11.463,9.1987,10.023,7.9171,11.834
795,ZP_00517768 CwatDRAFT_2134 Histidinol-phosphate aminotransferase [Crocosphaera watsonii WH 8501],638433049,40 kDa,,2.9044,3.9123,0.96741,3.3606,5.9938,4.3741,4.5628,5.7314,5.1104,4.0092,3.5187,4.9309
796,"ZP_00513969 CwatDRAFT_6264 GDP-mannose 4,6-dehydratase [Crocosphaera watsonii WH 8501]",638429226,42 kDa,,0,3.9123,6.7718,3.3606,2.3975,0,3.6502,4.7761,0,1.0023,3.5187,2.9586
797,ZP_00513613 CwatDRAFT_6707 Indole-3-glycerol-phosphate synthase [Crocosphaera watsonii WH 8501],638428867,33 kDa,,1.9362,5.8684,3.8696,2.2404,2.3975,3.2806,3.6502,1.9105,1.0221,4.0092,0.87968,0.98619
798,ZP_00517560 CwatDRAFT_2379 4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Crocosphaera watsonii WH 8501],638432848,37 kDa,,0.96812,4.8903,5.8044,5.6009,2.3975,4.3741,4.5628,5.7314,4.0883,4.0092,6.1578,4.9309
799,ZP_00513748 CwatDRAFT_6131 N-acylglucosamine-6-phosphate 2-epimerase [Crocosphaera watsonii WH 8501],638429003,24 kDa,,3.8725,4.8903,3.8696,2.2404,2.3975,6.5611,5.4754,5.7314,5.1104,4.0092,6.1578,5.9171
800,ZP_00515870 CwatDRAFT_4096 Ribosomal protein L28 [Crocosphaera watsonii WH 8501],638431143,9 kDa,,0,0.97807,0,4.4807,1.1988,0,0.91256,1.9105,1.0221,2.0046,0.87968,0.98619
801,"ZP_00518904 CwatDRAFT_0738 extracellular solute-binding protein, family 5 [Crocosphaera watsonii WH 8501]",638434193,66 kDa,,0,2.9342,3.8696,1.1202,2.3975,2.187,2.7377,5.7314,2.0441,2.0046,3.5187,2.9586
802,ZP_00516856 CwatDRAFT_3240 TPR repeat:TPR repeat [Crocosphaera watsonii WH 8501],638432113,20 kDa,,1.9362,1.9561,0.96741,1.1202,1.1988,1.0935,0.91256,1.9105,2.0441,1.0023,1.7594,2.9586
803,ZP_00514356 CwatDRAFT_5901 photosystem II 11 kD protein [Crocosphaera watsonii WH 8501],638429615,15 kDa,,24.203,10.759,9.6741,12.322,13.186,10.935,9.1256,9.5523,13.287,9.0207,14.075,10.848
804,ZP_00517847 CwatDRAFT_1831 hypothetical protein [Crocosphaera watsonii WH 8501],638433132,44 kDa,,0,2.9342,2.9022,1.1202,2.3975,1.0935,2.7377,2.8657,1.0221,3.0069,1.7594,0
805,ZP_00518067 CwatDRAFT_1410 Cell wall hydrolase/autolysin [Crocosphaera watsonii WH 8501],638433354,65 kDa,,0,2.9342,0.96741,1.1202,1.1988,1.0935,0.91256,0,1.0221,1.0023,0.87968,1.9724
806,ZP_00515017 CwatDRAFT_4943 circadian clock protein KaiB homolog [Crocosphaera watsonii WH 8501],638430282,12 kDa,,1.9362,5.8684,5.8044,4.4807,4.795,3.2806,4.5628,3.8209,4.0883,5.0115,3.5187,1.9724
807,ZP_00515107 CwatDRAFT_5099 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638430372,34 kDa,,1.9362,3.9123,4.837,3.3606,2.3975,5.4676,4.5628,1.9105,6.1324,4.0092,5.2781,3.9448
808,ZP_00516935 CwatDRAFT_2950 3-dehydroquinate synthase [Crocosphaera watsonii WH 8501],638432221,40 kDa,,0,2.9342,2.9022,1.1202,1.1988,2.187,2.7377,3.8209,1.0221,1.0023,0.87968,0.98619
809,ZP_00517539 CwatDRAFT_2160 Exoribonuclease II [Crocosphaera watsonii WH 8501],638432824,76 kDa,,1.9362,0.97807,4.837,2.2404,0,2.187,0.91256,0.95523,0,0,3.5187,3.9448
810,ZP_00518003 CwatDRAFT_1740 Amidohydrolase [Crocosphaera watsonii WH 8501],638433293,51 kDa,TRUE,0,0,0,0,0,1.0935,0,0,0,0,0,0
811,ZP_00514015 CwatDRAFT_6295 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429272,47 kDa,,0,0,0,0,0,0,0.91256,0,0,1.0023,0,0
812,ZP_00515460 CwatDRAFT_4529 similar to Uncharacterized protein conserved in bacteria [Crocosphaera watsonii WH 8501],638430775,44 kDa,,0.96812,3.9123,1.9348,0,4.795,3.2806,6.3879,6.6866,3.0662,3.0069,4.3984,1.9724
813,ZP_00516416 CwatDRAFT_3849 Nitrogenase-associated protein [Crocosphaera watsonii WH 8501],638431658,16 kDa,,4.8406,8.8026,2.9022,4.4807,5.9938,7.6547,10.038,7.6418,12.265,9.0207,5.2781,2.9586
814,ZP_00516541 CwatDRAFT_3418 hypothetical protein [Crocosphaera watsonii WH 8501],638431800,52 kDa,,0.96812,0.97807,0.96741,1.1202,1.1988,1.0935,0.91256,0.95523,1.0221,2.0046,0.87968,0.98619
815,ZP_00517820 CwatDRAFT_1172 hypothetical protein [Crocosphaera watsonii WH 8501],638433103,14 kDa,,4.8406,7.8245,3.8696,6.7211,10.789,9.8417,5.4754,7.6418,9.1987,8.0184,2.639,2.9586
816,"ZP_00518940 CwatDRAFT_0618 Transposase, IS4 [Crocosphaera watsonii WH 8501]",638434232,57 kDa,TRUE,0,0,0,1.1202,0,1.0935,1.8251,0.95523,1.0221,0,0,0
817,ZP_00515820 CwatDRAFT_4217 Pentapeptide repeat [Crocosphaera watsonii WH 8501],638431073,18 kDa,,24.203,14.671,12.576,10.082,3.5963,2.187,6.3879,9.5523,14.309,16.037,14.955,19.724
818,"ZP_00515890 CwatDRAFT_4119 UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanyl ligase [Crocosphaera watsonii WH 8501]",638431108,50 kDa,,0.96812,5.8684,7.7393,3.3606,2.3975,7.6547,4.5628,5.7314,2.0441,2.0046,9.6765,7.8895
819,ZP_00517102 CwatDRAFT_2653 similar to Nucleoside-diphosphate-sugar epimerases [Crocosphaera watsonii WH 8501],638432388,23 kDa,,11.617,8.8026,11.609,11.202,9.5901,12.029,7.3005,9.5523,7.1545,7.0161,9.6765,9.8619
820,ZP_00517366 CwatDRAFT_2635 Hydrophobe/amphiphile efflux-1 HAE1 [Crocosphaera watsonii WH 8501],638432646,120 kDa,,0,0,0.96741,0,0,0,0,0,0,1.0023,0.87968,0.98619
821,ZP_00517755 CwatDRAFT_1688 Protein of unknown function UPF0061 [Crocosphaera watsonii WH 8501],638433037,65 kDa,,0,0,1.9348,0,0,0,0.91256,0,0,1.0023,0.87968,0.98619
822,ZP_00515872 CwatDRAFT_4098 hypothetical protein [Crocosphaera watsonii WH 8501],638431141,21 kDa,,1.9362,16.627,16.446,7.8413,0,0,0,0,0,1.0023,7.9171,11.834
823,ZP_00514466 CwatDRAFT_5402 NAD-dependent DNA ligase [Crocosphaera watsonii WH 8501],638429726,75 kDa,,0,0.97807,1.9348,0,0,0,0,0,1.0221,0,0.87968,1.9724
824,"ZP_00515244 CwatDRAFT_4705 Peptidase M50, putative membrane-associated zinc metallopeptidase [Crocosphaera watsonii WH 8501]",638430537,39 kDa,,4.8406,8.8026,10.641,12.322,10.789,7.6547,10.951,7.6418,6.1324,6.0138,7.0374,7.8895
825,ZP_00515583 CwatDRAFT_4307 CpcD phycobilisome linker-like [Crocosphaera watsonii WH 8501],638430850,8 kDa,,0,5.8684,6.7718,2.2404,3.5963,1.0935,3.6502,3.8209,5.1104,4.0092,0.87968,1.9724
826,ZP_00515955 CwatDRAFT_4152 hypothetical protein [Crocosphaera watsonii WH 8501],638431223,19 kDa,,10.649,6.8465,5.8044,10.082,11.988,5.4676,1.8251,2.8657,10.221,9.0207,3.5187,2.9586
827,ZP_00517828 CwatDRAFT_1182 RNA binding S1 [Crocosphaera watsonii WH 8501],638433111,81 kDa,,0.96812,0,1.9348,1.1202,1.1988,2.187,3.6502,2.8657,1.0221,1.0023,2.639,3.9448
828,ZP_00515140 CwatDRAFT_5016 Ribonucleoside-diphosphate reductase [Crocosphaera watsonii WH 8501],638430405,38 kDa,,5.8087,3.9123,3.8696,3.3606,4.795,3.2806,3.6502,2.8657,4.0883,4.0092,2.639,3.9448
829,"ZP_00517735 CwatDRAFT_1010 Oxidoreductase, N-terminal:Oxidoreductase, C-terminal [Crocosphaera watsonii WH 8501]",638433021,41 kDa,,0,0.97807,1.9348,2.2404,2.3975,1.0935,1.8251,1.9105,0,2.0046,2.639,2.9586
830,ZP_00518424 CwatDRAFT_0664 Protein of unknown function DUF1001 [Crocosphaera watsonii WH 8501],638433711,25 kDa,,1.9362,3.9123,5.8044,0,1.1988,0,3.6502,2.8657,1.0221,1.0023,2.639,0.98619
831,ZP_00516154 CwatDRAFT_3882 Uracil-DNA glycosylase superfamily [Crocosphaera watsonii WH 8501],638431424,26 kDa,,0,2.9342,0,1.1202,2.3975,2.187,4.5628,2.8657,0,1.0023,0,0
832,ZP_00517335 CwatDRAFT_2580 L-aspartate oxidase [Crocosphaera watsonii WH 8501],638432619,62 kDa,,0.96812,0,0,0,0,0,0.91256,0.95523,0,0,0,0
833,ZP_00516768 CwatDRAFT_2868 hypothetical protein [Crocosphaera watsonii WH 8501],638432054,78 kDa,,0,0,0,3.3606,2.3975,3.2806,0.91256,0,0,0,0,0
834,"ZP_00516379 CwatDRAFT_3592 regulatory protein, LuxR:Response regulator receiver [Crocosphaera watsonii WH 8501]",638431624,24 kDa,,17.426,10.759,7.7393,7.8413,8.3913,6.5611,10.951,8.597,8.1766,8.0184,7.0374,3.9448
835,ZP_00517135 CwatDRAFT_2671 hypothetical protein [Crocosphaera watsonii WH 8501],638432415,14 kDa,,7.745,4.8903,3.8696,5.6009,5.9938,5.4676,6.3879,6.6866,9.1987,7.0161,5.2781,4.9309
836,ZP_00517075 CwatDRAFT_2460 Oxygen-independent coproporphyrinogen III oxidase HemN [Crocosphaera watsonii WH 8501],638432333,54 kDa,,0,0,0,0,0,0,0,1.9105,0,0,0,0
837,ZP_00514158 CwatDRAFT_6376 NADH dehydrogenase I subunit N [Crocosphaera watsonii WH 8501],638429416,17 kDa,,4.8406,6.8465,6.7718,6.7211,3.5963,4.3741,5.4754,3.8209,3.0662,6.0138,4.3984,7.8895
838,ZP_00516060 CwatDRAFT_3971 Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase [Crocosphaera watsonii WH 8501],638431301,30 kDa,,3.8725,4.8903,3.8696,1.1202,1.1988,1.0935,2.7377,1.9105,1.0221,1.0023,5.2781,4.9309
839,ZP_00517259 CwatDRAFT_2969 Inositol monophosphatase [Crocosphaera watsonii WH 8501],638432544,32 kDa,,3.8725,5.8684,5.8044,5.6009,4.795,4.3741,4.5628,4.7761,4.0883,6.0138,7.0374,8.8757
840,ZP_00518989 CwatDRAFT_0519 Helicase RecD/TraA [Crocosphaera watsonii WH 8501],638434279,83 kDa,,0,0,1.9348,0,0,0,0,0,0,0,0.87968,0.98619
841,ZP_00513970 CwatDRAFT_6265 NAD-dependent epimerase/dehydratase [Crocosphaera watsonii WH 8501],638429227,35 kDa,,0.96812,1.9561,3.8696,1.1202,0,3.2806,4.5628,3.8209,1.0221,4.0092,3.5187,4.9309
842,"ZP_00515535 CwatDRAFT_4612 Glycosyl transferase, family 2 [Crocosphaera watsonii WH 8501]",638430763,54 kDa,,0,0,0,0,0,0,0,0,0,1.0023,0.87968,0
843,ZP_00513778 CwatDRAFT_6619 Protein of unknown function DUF820 [Crocosphaera watsonii WH 8501],638429033,22 kDa,,1.9362,2.9342,7.7393,8.9615,1.1988,6.5611,8.2131,7.6418,2.0441,1.0023,7.0374,10.848
844,"ZP_00518654 CwatDRAFT_0888 Peptidase U61, LD-carboxypeptidase A [Crocosphaera watsonii WH 8501]",638433939,33 kDa,,4.8406,1.9561,3.8696,3.3606,3.5963,3.2806,5.4754,4.7761,2.0441,2.0046,6.1578,3.9448
845,ZP_00516260 CwatDRAFT_3595 Non-ribosomal peptide synthase:Amino acid adenylation [Crocosphaera watsonii WH 8501],638431533,173 kDa,,0,0.97807,0.96741,0,0,0,0,0,0,0,0.87968,1.9724
846,ZP_00517838 CwatDRAFT_1734 ABC transporter [Crocosphaera watsonii WH 8501],638433120,65 kDa,,0,0.97807,3.8696,1.1202,0,0,0.91256,0,0,1.0023,0.87968,0.98619
847,"ZP_00515714 CwatDRAFT_4239 Cytochrome b/b6, N-terminal [Crocosphaera watsonii WH 8501]",638430989,25 kDa,,12.586,8.8026,7.7393,10.082,5.9938,6.5611,7.3005,3.8209,5.1104,10.023,7.0374,5.9171
